0||es ist diese pyramide.||it's that pyramid.
33||und trotzdem versucht niemand alles daran zu setzen, dass die nächste generation von kindern afro-amerikanischer oder asiatischer eltern mit cremefarbener haut und blondem haar auf die welt kommt.||and yet, we have nobody who is trying to ensure that the next generation of children born to african-americans and asians come out with creamy skin and yellow hair.
34||und am ende schaffte er es auf ein bildungsniveau, das niemand in seiner familie je zuvor in erwägung gezogen hatte.||and he ended up achieving at a level that had never before been contemplated by any member of his family.
35||unter den menschen mit down-syndrom finden sich heute schauspieler, schriftsteller, und einige, die im erwachsenenalter ganz selbständig leben können.||the experience of down syndrome people includes those who are actors, those who are writers, some who are able to live fully independently in adulthood.
36||oft ist die frage, die wir uns als eltern stellen müssen, was wir an unseren kindern anerkennen, und was wir an ihnen heilen.||and a lot of the time the question of parenthood is, what do we validate in our children, and what do we cure in them?
37||und letztendlich denke ich, dass genauso wie wir flammfeste schlafanzüge in einem inferno testen, um sicherzustellen, dass sie nicht feuer fangen, wenn unser kind über den herd langt, auch diese geschichten von familien, die diese extremen unterschiede zu überwinden haben, die universelle erfahrung des elternseins widerspiegeln, welche immer darauf hinausläuft, dass man manchmal dein kind ansiehst und sich fragt: "von welchem planeten kommst du?"||and ultimately i feel that in the same way that we test flame-retardant pajamas in an inferno to ensure they won't catch fire when our child reaches across the stove, so these stories of families negotiating these extreme differences reflect on the universal experience of parenting, which is always that sometimes you look at your child and you think, where did you come from?
38||und er hatte einen sehr großen kopf, was, wie sie meinte, auf einen wasserkopf hinweisen könnte.||and he had a very large head, which she thought might indicate hydrocephalus.
39||ich komme aus einer privilegierten familie. ich habe viel glück gehabt.||and i came from a very privileged background. i was very lucky.
40||ich habe noch nie das bild gezeigt und ich werde wahrscheinlich verklagt.||never shown this picture before, and probably going to be sued for it.
41||der punkt ist, es wird sehr aufwändig zu programmieren sein.||the point being, this is going to be very, very intensive on the programming side.
42||man will ein separates ding wie den stromadapter.||you want a separate thing, like the ac adaptor.
43||wenn man in der wüste ist, können diese miteinander kommunizieren, bis zu ungefähr zwei kilometer reichweite.||if you're in a desert, they can talk to each other about two kilometers apart.
44||nicht etwas, um was man beneidet wird oder das man machen möchte.||not something you'd envy or want to do.
45||es geht nicht darum, 100 oder 1000 zu kaufen. ich lade sie ein, das zu machen und 10.000 wären sogar besser.||and it's not to go out and buy 100 or 1,000, though, i invite you to do that, and 10,000 would be even better.
46||und es gibt tage – ich weiß ja nicht, wie es ihnen so geht – aber es gibt tage, an denen ich es greifbar fühlen kann, wie sehr ich für ziemlich alles in meinem leben auf andere leute angewiesen bin.||and there are days -- i don't know about the rest of you guys -- but there are days when i palpably feel how much i rely on other people for pretty much everything in my life.
47||jetzt haben wir auf dieser webseite tatsächlich 18.000 menschen.||so actually now on this website, we have 18,000 people.
48||wir bauen auf innovationen von generationen vor uns auf.||and we're building upon innovations of generations who went before us.
49||aber denken sie daran, dort ist griechenland heute.||but remember, greece is there today.
50||wenn sie sich die wirtschaft aus diesen beiden unterschiedlichen winkeln betrachten, verstehen sie, weshalb diese krise so schwierig ist, je schlimmer die krise wird, je höher die einsätze werden, um so mehr glaubt jede seite, allein die antwort zu kennen, und dass die andere seite alles nur ruinieren wird.||and when you think about the economy through these two different lenses, you understand why this crisis is so hard to solve, because the worse the crisis gets, the higher the stakes are, the more each side thinks they know the answer and the other side is just going to ruin everything.
51||das sind 20% des haushalts und das ist ein ungleich schwieriges thema.||that's 20 percent of the budget, and that presents a more difficult issue.
52||der satz, den man als doktorand, postdoc oder professor, als 38-jähriger wirtschaftsprofessor sagt, ist: "ich bin empiriker,||the phrase that you want, if you're a graduate student or a postdoc or you're a professor, a 38-year-old economics professor, is, "i'm an empiricist.
53||wir wissen wie es ist, wenn diese leute im fernsehen, im kongress herumbrüllen, dass das ende der welt naht, wenn wir uns ihrer meinung nicht völlig anschließen, denn das geschieht mit dem dollar, seit es den dollar gibt.||we know what it's like to have these people on tv, in congress, yelling about how the end of the world is coming if we don't adopt their view completely, because it's happened about the dollar ever since there's been a dollar.
54||und er sagte zu dem mann, "warum haben sie da auf der rückseite dinge hingeschrieben, die niemand jemals sehen wird?"||and he said to the guy, "why have you put stuff on the back that no one will ever see?"
55||nun, ich dachte, das ist nicht gut genug.||i thought, well that's not good enough.
56||die verdrahtung von unserem system der sinne zu diesen teilen ist kürzer als jene teile, die durch den denkapparat durch müssen, den kortex.||the wiring from your sensory apparatus to those bits is shorter than the bits that have to pass through the thinky bit, the cortex.
57||wo fühlen sie das?||where are you feeling this?
58||und auch triumph, dieses gefühl der transzendenz, dieses "das wusste ich gar nicht. ah, das ist etwas neues."||and also triumph, this sense of transcendence, this "i never knew that. ah, this is something new."
59||also werde ich ihnen jetzt schamlos etwas enthüllen, was für mich sehr schön ist.||so i'm going to shamelessly expose something to you, which is beautiful to me.
60||und ich kann ihnen nicht sagen, wie schwierig es ist, diesen gewölbten kühler zu machen.||and then i can't tell you how hard it is to do that radiator, which is curved.
61||niemand wird diese gebrochenen linien und die änderungen bemerken.||no one's going to notice those split lines and changes.
62||aber was ich jetzt tun muss, wenn ich wieder fühle, was ich tun muss, ist, in der lage zu sein, genügend dieser enzyme von diesen auslösern zu senden, früh genug im prozess, dass sie bei ihnen ankommen, nicht durch ihr denken, sondern durch ihr fühlen.||but what i have to do now, feeling again, what i've got to do is to be able to supply enough of these enzymes, of these triggers into something early on in the process, that you pick it up, not through your thinking, but through your feeling.
63||keien zeit. hier steht, ich habe noch zwei minuten, also können wir das nicht machen.||no time. it says i have two minutes left, so we can't do this.
64||also ich finde das zu simpel.||now i think it's too easy.
65||wir haben ziemlich schlecht säkularisiert, würde ich sagen.||we have secularized badly, i would argue.
66||wir brauchen daten, keine hilfe.||we need data, we don't need help.
67||man muss die lektion zehnmal am tag wiederholen.||you need to keep repeating the lesson 10 times a day.
68||das wird daran deutlich, wie religionen rituale um wichtige gefühle erschaffen.||this comes across also in the way in which religions set up rituals around important feelings.
69||und wenn sie uns eine lehre erteilen wollen, tun sie das über den körper.||and when they teach us a lesson, they do it via the body.
70||doch dieses gefühl der verwirrung ist elementar in der zeitgenössischen kunst.||but that feeling of puzzlement is structural to contemporary art.
71||die menschen in der modernen, säkularen welt, die sich für spirituelle belange interessieren, für belange des bewusstseins, für die höheren, seelischen problematiken, sind ziemlich oft isolierte wesen.||the people in the modern world, in the secular world, who are interested in matters of the spirit, in matters of the mind, in higher soul-like concerns, tend to be isolated individuals.
72||wenn sie die welt verändern wollen, müssen sie gruppen bilden, kollaborieren.||if you want to change the world, you have to group together, you have to be collaborative.
73||und dann sage ich: "na klar." und sie sagen: "also sind sie irgendwie religiös?"||and i say, "of course." and they say, "so aren't you sort of religious?"
74||weil man sich zu 90% einig war, weil man eine ähnliche sicht auf so viele dinge hat, und man an der stelle höflich anderer meinung ist.||because you've agreed on 90 percent of things, because you have a shared view on so many things, and you politely differ.
75||so führte er mich von orten wie chile – der atacama wüste in chile – nach sibirien, in unterirdische minen, in den japanischen alpen, in nordamerika, bis nach antarktika und sogar zum südpol.||so it took me from places like chile -- the atacama desert in chile -- to siberia, to underground mines in the japanese alps, in northern america, all the way to antarctica and even to the south pole.
76||man braucht so etwas wie zig megatonnen an wasser – beinahe eine gigatonne an wasser – um eine chance zu haben, das neutrino zu erwischen.||you need something like tens of megatons of water -- almost a gigaton of water -- in order to have any chance of catching this neutrino.
77||die toiletten dort sind wörtlich löcher im boden, bedeckt von einer bretterbude.||the toilets there are literally holes in the ground covered with a wooden shack.
78||hier landen wir auf dem ross festlandsockel in antarktika.||so this is us landing on the ross ice shelf in antarctica.
79||der stoff alleine wiegt zwei tonnen.||the fabric alone weighs two tons.
80||anil ananthaswamy: was extreme astrophysik erfordert||anil ananthaswamy: what it takes to do extreme astrophysics
81||zuerst müssen wir das problem von der technischen seite angehen. wie groß ist es?||well, first you have to, as an engineer, scope the problem. how big is it?
82||ein buchmobil -- die größe eines lieferwagens mit satellitenschüssel, drucker, buchbinder und schneidmaschine, und die kinder machen ihre eigenen bücher.||and a bookmobile -- the size of a van with a satellite dish, a printer, binder and cutter, and kids make their own books.
83||wir haben so einen. er ist echt cool.||we have one of these things now. it's completely cool.
84||aber wir dachten, ok, wenn wir 's schon machen müssen, dann in der bibliothek.||but we sent -- thought, ok, if we're going to need to do this, let's do it in-library.
85||das getty bringt gerade seine bücher zur ucla wo wir eins dieser scan-center haben, um die von autorenrechten freien bücher zu scannen, was toll ist.||the getty here is moving their books to the ucla, which is where we have one these scanning centers, and scanning their out-of-copyright books, which is fabulous.
86||es kostet ca. 10 dollar pro stück, um eine platte online zu stellen, wenn man in großen mengen arbeitet.||it costs about 10 dollars a piece to go and take a disk and put it online, if you're doing things in volume.
87||wir streben langfristige dinge an, und auch wiederverwertbare dinge, für neue filme was echt spass machen kann.||we tended towards longer-term things and also things that people can reuse and make into new movies, which has just been great fun.
88||man bekommt eine vorstellung davon, wo dinge herkommen.||so anyway, you've got basically an idea of where things came from.
89||stellen sie sich vor, wie es eingepackt aussieht.||so envision what it looks like all wrapped up.
90||es sah im verpackten zustand ungefähr so aus - nicht besonders schön.||it looked more like this when it was all wrapped up -- not quite so pretty.
91||und ehrlich gesagt, ich stoße auf große vorurteile,||and frankly, i face a big obstacle.
92||aber das sind grundsätzlich nach außen verlagerte mägen und lungen.||but these are essentially externalized stomachs and lungs.
93||also fungi und myzel sondern kohlendioxid in form von kalziumoxalaten ab.||so, fungi and mycelium sequester carbon dioxide in the form of calcium oxalates.
94||das myzel, unter entsprechenden umständen, produziert einen pilz -- der mit solcher kraft hochschiesst, dass er asphalt aufbrechen kann.||the mycelium, in the right conditions, produces a mushroom -- it bursts through with such ferocity that it can break asphalt.
95||und ich zeige ihnen eine graphik.||and i'll show you a graph here.
96||es gibt einen sicherheitsprüfungsbericht, den sie lesen können -- er ist geprüft durch dod, wenn sie "stamets" und "pocken" googeln.||there's a vetted press release that you can read -- it's vetted by dod -- if you google "stamets" and "smallpox."
97||so, ist das haus nicht mehr für die invasion geeignet.||so, the house is no longer suitable for invasion.
98||zu viel abhebung von der kohlenstoffbank, und diese population verschwindet.||too many withdrawals from the carbon bank, and so this population will be shut down.
99||wir hatten unseren eigenen miniregenwald, einen privatstrand mit korallenriff.||so we had our own miniature rainforest, a private beach with a coral reef.
